"","gene","distance","Z","FC","p.value","p.adj"
"3001","Pparg",2.91792563680449e-06,3.6356684283239,97038.9376279521,0,0
"1936","Elane",3.85135599324452e-07,3.20802360089242,1690.53793753746,0,0
"2764","Gm15635",9.01748829192299e-08,2.90880836490657,92.676317353721,6.15861527946226e-22,6.16066815122208e-19
"1991","Hist1h4m",5.71615221945834e-08,2.81610565722778,37.239613477262,1.04469925816076e-09,7.8378561843511e-07
"2294","Hist1h2af",5.59442547372408e-08,2.81174305168952,35.6704492718304,2.33681966560139e-09,1.02105367092064e-06
"2430","Stfa1",5.5374850224965e-08,2.80967011373404,34.9480318613481,3.38623509449476e-09,1.02105367092064e-06
"1906","Fcnb",5.51229988405895e-08,2.80874652721821,34.6308591896748,3.98538051659562e-09,1.02105367092064e-06
"1315","Hist1h2bk",5.49953645904249e-08,2.80827687858311,34.4706731835226,4.3272224478258e-09,1.02105367092064e-06
"1287","Ms4a3",5.49552357895752e-08,2.80812899679006,34.4203866867856,4.4404769188223e-09,1.02105367092064e-06
"1758","Ulbp1",5.48233324952588e-08,2.80764215834554,34.2553536852004,4.83343942129058e-09,1.02105367092064e-06
"1238","Fbp1",5.48141562933491e-08,2.8076082471862,34.2438874819855,4.86200163310989e-09,1.02105367092064e-06
"1545","4930438A08Rik",5.47964023092781e-08,2.80754262046625,34.2217082853777,4.9177303994424e-09,1.02105367092064e-06
"2453","Prss57",5.4679758394437e-08,2.80711092997514,34.0761693346897,5.29963468538642e-09,1.02105367092064e-06
"2055","Adtrp",5.46558258586762e-08,2.80702224518025,34.0463465742202,5.3814856207157e-09,1.02105367092064e-06
"1660","Depdc1a",5.4488616905589e-08,2.80640156260148,33.8383487703742,5.98866703342701e-09,1.02105367092064e-06
"2783","Cep72",5.42057654052294e-08,2.80534732495052,33.48794951107,7.17068933906042e-09,1.02105367092064e-06
"269","Hist1h2ad",5.42051703464975e-08,2.80534510134869,33.4872142687118,7.17340054607793e-09,1.02105367092064e-06
"588","Polq",5.41845174887257e-08,2.80526791130553,33.4617010228873,7.26811930809544e-09,1.02105367092064e-06
"351","Gm16576",5.41790833835466e-08,2.8052475965202,33.454989685654,7.29324278451186e-09,1.02105367092064e-06
