"","gene","distance","Z","FC","p.value","p.adj"
"3001","Pparg",2.48705851369013e-07,3.3800390882609,1338251.79286273,0,0
"632","Grb10",1.18225467085847e-09,1.53287447289292,30.2404259834276,3.81670617229306e-08,5.72696761152573e-05
"132","Ophn1",1.14214201397209e-09,1.52283414256578,28.2231862974299,1.08101819701942e-07,6.87768554557448e-05
"989","Pde4a",1.1321103119873e-09,1.52027149820328,27.7295818125059,1.39512936421675e-07,6.87768554557448e-05
"1104","Brf2",1.12706831641548e-09,1.5189754441638,27.4831374667251,1.5847018177012e-07,6.87768554557448e-05
"373","Snora31",1.12695163710935e-09,1.51894538720531,27.4774473991819,1.58937106942557e-07,6.87768554557448e-05
"134","S100pbp",1.11858243689447e-09,1.51678180489977,27.0708454702674,1.9613375025374e-07,6.87768554557448e-05
"2030","AW146020",1.11583525744118e-09,1.51606830093551,26.9380396161982,2.10083149650356e-07,6.87768554557448e-05
"1601","Ccdc61",1.11274903447003e-09,1.51526477194262,26.789233016793,2.26898015001446e-07,6.87768554557448e-05
"1157","Exoc4",1.11210907038763e-09,1.51509788926691,26.7584278371432,2.30544041176648e-07,6.87768554557448e-05
"544","Ift140",1.10851469236341e-09,1.51415891059546,26.5857388824065,2.52097770747482e-07,6.87768554557448e-05
"119","Klhl28",1.09376357282995e-09,1.51027524604217,25.8828883105882,3.62770771546369e-07,8.65957768477265e-05
"1324","Lzic",1.09239712214554e-09,1.50991300557442,25.8182571623125,3.75123325231737e-07,8.65957768477265e-05
"655","5830418K08Rik",1.07450486414487e-09,1.50513021465981,24.9794343223358,5.79451037632879e-07,0.000124209468852591
"293","Ctbp2",1.04577779548312e-09,1.49729263374508,23.6616300792748,1.14849717737114e-06,0.00022977600195272
"1512","Tsix",1.01587580646824e-09,1.48891702084134,22.3278580598827,2.29847927946304e-06,0.000431108519854286
"791","Rhbdf1",1.00248319653876e-09,1.48509049112324,21.7430283007856,3.11720595919325e-06,0.000550278534325821
"1589","Bud13",9.97499586294336e-10,1.48365432524696,21.5273849088111,3.48811841464843e-06,0.000581546853464442
"2415","Smyd3",9.77991636305805e-10,1.47796706332674,20.6936028121851,5.38957623591072e-06,0.00085126938336674
"2999","Usp18",9.70965331596732e-10,1.47589255191409,20.397327777496,6.29175899935375e-06,0.000944078437853031
"841","Ssbp2",9.57489104305084e-10,1.47187399877147,19.8350595581058,8.44199752622025e-06,0.00117457461531366
"2198","Pfas",9.56575927983262e-10,1.47159977792972,19.7972434214416,8.61067695331572e-06,0.00117457461531366
"2845","Prr24",9.42732673609084e-10,1.46741238678316,19.228391064402,1.15975689594365e-05,0.00151323062814212
"946","Vamp4",9.27968735796764e-10,1.46288246450345,18.6308434619062,1.58633206299657e-05,0.00198357605043863
"1388","Glmn",9.16986131208846e-10,1.45946868433728,18.1924572141002,1.99668041082719e-05,0.00239681516515696
"1273","Pam",9.08395309589766e-10,1.45677151760919,17.8531804169955,2.38620122883571e-05,0.00275422687989845
"2716","C1galt1",8.91555545949307e-10,1.45141438340967,17.1973939250188,3.36898202223118e-05,0.00367982462061251
"1519","Cyb561",8.90623020704872e-10,1.45111495870452,17.1614374059443,3.43335852639621e-05,0.00367982462061251
"1240","4632415L05Rik",8.65999670223698e-10,1.4431003296413,16.2256192586916,5.62285478781425e-05,0.00581868524766572
"1226","Pck2",8.6328125894101e-10,1.44220245433567,16.123913265859,5.93301412020176e-05,0.00593499179157516
"2612","Akap10",8.51762637154075e-10,1.43836825682344,15.6965063096062,7.43613962878846e-05,0.00719866291161102
"364","Wdr47",8.25022112577771e-10,1.42927621845222,14.7264139911467,0.000124292724100435,0.0116563270320439
"2003","Inhba",8.20113484829268e-10,1.42757726626672,14.5517000238898,0.000136365556770143,0.0124010010868848
"325","Copg2",8.06453629045942e-10,1.42279868424762,14.0709891687489,0.000176038183638052,0.0155107390561405
"2464","2810013P06Rik",8.04984608308022e-10,1.42228026855162,14.0197729609393,0.000180898322880679,0.0155107390561405
"1446","Crtap",8.00850831655147e-10,1.42081668764344,13.8761533076389,0.000195260324112999,0.0162771175739753
"1256","Fam175a",7.94774277376633e-10,1.41865234309255,13.6663781428265,0.000218328644061347,0.0175947192866733
"1885","Polr3f",7.93668572638406e-10,1.41825684534422,13.6283787556813,0.000222792180237783,0.0175947192866733
"1007","Thra",7.82865038704801e-10,1.414365118783,13.2598809532935,0.000271146867752526,0.0206378486708762
