"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"white fat cell differentiation (GO:0050872)","2/7",0.000311348787157889,0.143275729879302,0,0,104.826315789474,846.430231103073,"CTBP2;PPARG"
"positive regulation of cold-induced thermogenesis (GO:0120162)","4/97",0.000563452537866218,0.143275729879302,0,0,11.5251380412671,86.2244841694515,"THRA;PDGFC;GRB10;PPARGC1B"
"positive regulation of metabolic process (GO:0009893)","4/113",0.000998975444873124,0.143275729879302,0,0,9.8254401190181,67.8818077159901,"THRA;PDGFC;GRB10;PPARGC1B"
"regulation of smoothened signaling pathway (GO:0008589)","3/51",0.00103856902723045,0.143275729879302,0,0,16.5616666666667,113.777183442099,"ULK3;MEGF8;GAS8"
"regulation of proteasomal protein catabolic process (GO:0061136)","3/54",0.00122667576951457,0.143275729879302,0,0,15.5850980392157,104.473884847078,"RHBDF1;OPHN1;GLMN"
"positive regulation of multicellular organismal process (GO:0051240)","6/345",0.00228380684733491,0.212103400495598,0,0,4.81391347099312,29.2777959807613,"THRA;PDGFC;GLMN;GRB10;INHBA;PPARGC1B"
"regulation of transcription by RNA polymerase III (GO:0006359)","2/21",0.00300524169442642,0.212103400495598,0,0,27.5664819944598,160.0895126495,"BRF2;POLR3F"
"positive regulation of smoothened signaling pathway (GO:0045880)","2/21",0.00300524169442642,0.212103400495598,0,0,27.5664819944598,160.0895126495,"ULK3;GAS8"
"negative regulation of smoothened signaling pathway (GO:0045879)","2/23",0.00360238179088965,0.212103400495598,0,0,24.9385964912281,140.308535125056,"ULK3;MEGF8"
"negative regulation of cell population proliferation (GO:0008285)","6/379",0.00363190754273284,0.212103400495598,0,0,4.36751563896336,24.5366909576183,"CTBP2;GLMN;PPARG;INHBA;GAS8;VGLL4"
"cellular response to insulin stimulus (GO:0032869)","3/129",0.0140335760614643,0.24086790229569,0,0,6.28444444444444,26.8113412365605,"GRB10;PPARG;PCK2"
"Golgi to plasma membrane transport (GO:0006893)","2/48",0.0150832951734013,0.24086790229569,0,0,11.370709382151,47.6906589175925,"EXOC4;VAMP4"
"positive regulation of signal transduction (GO:0009967)","4/252",0.0169710253471299,0.24086790229569,0,0,4.28814298169137,17.4795333111515,"CTBP2;GRB10;ULK3;GAS8"
"negative regulation of B cell differentiation (GO:0045578)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"INHBA"
"positive regulation of axon extension involved in axon guidance (GO:0048842)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"MEGF8"
"negative regulation of cardiac muscle cell proliferation (GO:0060044)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"VGLL4"
"anion homeostasis (GO:0055081)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"CYB561"
"negative regulation of CREB transcription factor activity (GO:0032792)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"EIF2AK4"
"negative regulation of gene silencing by RNA (GO:0060967)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"PPARG"
"negative regulation of gonadotropin secretion (GO:0032277)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"INHBA"
"glycerol biosynthetic process (GO:0006114)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"PCK2"
"positive regulation of Golgi to plasma membrane protein transport (GO:0042998)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"CNST"
"hemoglobin metabolic process (GO:0020027)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"INHBA"
"negative regulation of macrophage differentiation (GO:0045650)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"INHBA"
"cell migration involved in gastrulation (GO:0042074)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"MEGF8"
"positive regulation of low-density lipoprotein receptor activity (GO:1905599)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"PPARG"
"negative regulation of posttranscriptional gene silencing (GO:0060149)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"PPARG"
"negative regulation of vascular endothelial cell proliferation (GO:1905563)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"PPARG"
"centriole assembly (GO:0098534)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"CCDC61"
"positive regulation of protein localization to cilium (GO:1903566)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"GAS8"
"cerebellar granule cell differentiation (GO:0021707)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"OPHN1"
"cerebral cortex neuron differentiation (GO:0021895)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"OPHN1"
"regulation of intracellular cholesterol transport (GO:0032383)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"ARV1"
"regulation of inward rectifier potassium channel activity (GO:1901979)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"ALG10B"
"positive regulation of translation in response to stress (GO:0032056)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"EIF2AK4"
"positive regulation of vascular associated smooth muscle cell apoptotic process (GO:1905461)","1/5",0.0193502634667733,0.24086790229569,0,0,64.6688311688312,255.121723496479,"PPARG"
"negative regulation of cytokine-mediated signaling pathway (GO:0001960)","2/55",0.0195123624980995,0.24086790229569,0,0,9.86544190665343,38.8373546069069,"PPARG;USP18"
"negative regulation of signal transduction (GO:0009968)","4/267",0.0205066232513861,0.24086790229569,0,0,4.04048915835988,15.7054110948689,"GRB10;ULK3;MEGF8;VGLL4"
"fat cell differentiation (GO:0045444)","2/58",0.0215576939560234,0.24086790229569,0,0,9.33552631578947,35.8206245046355,"CTBP2;PPARG"
"negative regulation of cardiac muscle tissue growth (GO:0055022)","1/6",0.0231757383378881,0.24086790229569,0,0,51.7324675324675,194.754598138502,"VGLL4"
"foam cell differentiation (GO:0090077)","1/6",0.0231757383378881,0.24086790229569,0,0,51.7324675324675,194.754598138502,"PPARG"
"gastrulation with mouth forming second (GO:0001702)","1/6",0.0231757383378881,0.24086790229569,0,0,51.7324675324675,194.754598138502,"MEGF8"
"hepatocyte differentiation (GO:0070365)","1/6",0.0231757383378881,0.24086790229569,0,0,51.7324675324675,194.754598138502,"PCK2"
"IMP biosynthetic process (GO:0006188)","1/6",0.0231757383378881,0.24086790229569,0,0,51.7324675324675,194.754598138502,"PFAS"
"cellular response to cold (GO:0070417)","1/6",0.0231757383378881,0.24086790229569,0,0,51.7324675324675,194.754598138502,"EIF2AK4"
"negative regulation of sequestering of triglyceride (GO:0010891)","1/6",0.0231757383378881,0.24086790229569,0,0,51.7324675324675,194.754598138502,"PPARG"
"positive regulation of protein glycosylation (GO:0060050)","1/6",0.0231757383378881,0.24086790229569,0,0,51.7324675324675,194.754598138502,"ALG10B"
"macrophage derived foam cell differentiation (GO:0010742)","1/6",0.0231757383378881,0.24086790229569,0,0,51.7324675324675,194.754598138502,"PPARG"
"vacuole organization (GO:0007033)","1/6",0.0231757383378881,0.24086790229569,0,0,51.7324675324675,194.754598138502,"ULK3"
"peroxisome proliferator activated receptor signaling pathway (GO:0035357)","1/6",0.0231757383378881,0.24086790229569,0,0,51.7324675324675,194.754598138502,"PPARG"
"regulation of protein localization to cilium (GO:1903564)","1/6",0.0231757383378881,0.24086790229569,0,0,51.7324675324675,194.754598138502,"GAS8"
"regulation of innate immune response (GO:0045088)","2/64",0.0259012503023821,0.24086790229569,0,0,8.4295415959253,30.797027070951,"POLR3F;USP18"
"regulation of vascular associated smooth muscle cell apoptotic process (GO:1905459)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"PPARG"
"negative regulation of interferon-gamma-mediated signaling pathway (GO:0060336)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"PPARG"
"negative regulation of lymphocyte differentiation (GO:0045620)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"INHBA"
"negative regulation of response to interferon-gamma (GO:0060331)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"PPARG"
"left/right pattern formation (GO:0060972)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"MEGF8"
"substrate-dependent cell migration, cell extension (GO:0006930)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"OPHN1"
"regulation of microtubule binding (GO:1904526)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"GAS8"
"determination of digestive tract left/right asymmetry (GO:0071907)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"MEGF8"
"protection from non-homologous end joining at telomere (GO:0031848)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"DCLRE1A"
"protein localization to basolateral plasma membrane (GO:1903361)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"AP4M1"
"endosome to lysosome transport via multivesicular body sorting pathway (GO:0032510)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"LYST"
"negative regulation by host of viral genome replication (GO:0044828)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"EIF2AK4"
"positive regulation by symbiont of host autophagy (GO:0075044)","1/7",0.026986482201804,0.24086790229569,0,0,43.1082251082251,155.724979952911,"EIF2AK4"
"DNA-templated transcription, initiation (GO:0006352)","3/168",0.0279957555496021,0.24086790229569,0,0,4.78957575757576,17.1260973771771,"BRF2;THRA;PPARG"
"protein N-linked glycosylation (GO:0006487)","2/67",0.0281951016303739,0.24086790229569,0,0,8.03927125506073,28.6889998137944,"ALG8;ALG10B"
"positive regulation of adaptive immune response (GO:0002821)","1/8",0.0307825507393775,0.24086790229569,0,0,36.9480519480519,128.609048349639,"EIF2AK4"
"forebrain neuron differentiation (GO:0021879)","1/8",0.0307825507393775,0.24086790229569,0,0,36.9480519480519,128.609048349639,"INHBA"
"negative regulation of glucose import (GO:0046325)","1/8",0.0307825507393775,0.24086790229569,0,0,36.9480519480519,128.609048349639,"GRB10"
"rRNA base methylation (GO:0070475)","1/8",0.0307825507393775,0.24086790229569,0,0,36.9480519480519,128.609048349639,"METTL15"
"short-chain fatty acid catabolic process (GO:0019626)","1/8",0.0307825507393775,0.24086790229569,0,0,36.9480519480519,128.609048349639,"PCK2"
"regulation of Golgi to plasma membrane protein transport (GO:0042996)","1/8",0.0307825507393775,0.24086790229569,0,0,36.9480519480519,128.609048349639,"CNST"
"regulation of protein glycosylation (GO:0060049)","1/8",0.0307825507393775,0.24086790229569,0,0,36.9480519480519,128.609048349639,"ALG10B"
"glomerular filtration (GO:0003094)","1/9",0.0345639995215364,0.24086790229569,0,0,32.3279220779221,108.781602649415,"XPNPEP3"
"cilium movement involved in cell motility (GO:0060294)","1/9",0.0345639995215364,0.24086790229569,0,0,32.3279220779221,108.781602649415,"GAS8"
"positive regulation of smooth muscle cell apoptotic process (GO:0034393)","1/9",0.0345639995215364,0.24086790229569,0,0,32.3279220779221,108.781602649415,"PPARG"
"nucleoside diphosphate catabolic process (GO:0009134)","1/9",0.0345639995215364,0.24086790229569,0,0,32.3279220779221,108.781602649415,"ENTPD6"
"positive regulation of immune response (GO:0050778)","2/75",0.0346903001238301,0.24086790229569,0,0,7.15537130497477,24.051314981516,"POLR3F;EIF2AK4"
"regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898)","1/10",0.038330883967986,0.24086790229569,0,0,28.7344877344877,93.7175127185076,"THRA"
"negative regulation of cholesterol storage (GO:0010887)","1/10",0.038330883967986,0.24086790229569,0,0,28.7344877344877,93.7175127185076,"PPARG"
"renal filtration (GO:0097205)","1/10",0.038330883967986,0.24086790229569,0,0,28.7344877344877,93.7175127185076,"XPNPEP3"
"histone H3-K36 demethylation (GO:0070544)","1/10",0.038330883967986,0.24086790229569,0,0,28.7344877344877,93.7175127185076,"KDM4C"
"retinoic acid receptor signaling pathway (GO:0048384)","1/10",0.038330883967986,0.24086790229569,0,0,28.7344877344877,93.7175127185076,"PPARG"
"secretory granule organization (GO:0033363)","1/10",0.038330883967986,0.24086790229569,0,0,28.7344877344877,93.7175127185076,"LYST"
"cellular response to leucine starvation (GO:1990253)","1/10",0.038330883967986,0.24086790229569,0,0,28.7344877344877,93.7175127185076,"EIF2AK4"
"SNARE complex assembly (GO:0035493)","1/10",0.038330883967986,0.24086790229569,0,0,28.7344877344877,93.7175127185076,"VAMP4"
"lipoprotein transport (GO:0042953)","1/10",0.038330883967986,0.24086790229569,0,0,28.7344877344877,93.7175127185076,"PPARG"
"telomere maintenance in response to DNA damage (GO:0043247)","1/10",0.038330883967986,0.24086790229569,0,0,28.7344877344877,93.7175127185076,"DCLRE1A"
"positive regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030949)","1/10",0.038330883967986,0.24086790229569,0,0,28.7344877344877,93.7175127185076,"GRB10"
"establishment of epithelial cell apical/basal polarity (GO:0045198)","1/11",0.0420832593305426,0.24086790229569,0,0,25.8597402597403,81.9263790868409,"OPHN1"
"regulation of toll-like receptor 9 signaling pathway (GO:0034163)","1/11",0.0420832593305426,0.24086790229569,0,0,25.8597402597403,81.9263790868409,"GRAMD4"
"Golgi to lysosome transport (GO:0090160)","1/11",0.0420832593305426,0.24086790229569,0,0,25.8597402597403,81.9263790868409,"AP4M1"
"lipoprotein localization (GO:0044872)","1/11",0.0420832593305426,0.24086790229569,0,0,25.8597402597403,81.9263790868409,"PPARG"
"positive regulation of voltage-gated potassium channel activity (GO:1903818)","1/11",0.0420832593305426,0.24086790229569,0,0,25.8597402597403,81.9263790868409,"ALG10B"
"peptidyl-proline hydroxylation (GO:0019511)","1/11",0.0420832593305426,0.24086790229569,0,0,25.8597402597403,81.9263790868409,"CRTAP"
"monocyte differentiation (GO:0030224)","1/11",0.0420832593305426,0.24086790229569,0,0,25.8597402597403,81.9263790868409,"PPARG"
"response to insulin (GO:0032868)","2/84",0.042616470825522,0.24086790229569,0,0,6.36713735558408,20.0915940028562,"PPARG;PCK2"
"purine nucleoside monophosphate biosynthetic process (GO:0009127)","1/12",0.0458211806762042,0.24086790229569,0,0,23.5076741440378,72.4743670666049,"PFAS"
