=== brain ===
总DR基因:3001 | p.adj<0.05:31 | p.adj<0.01:31
         gene        Z           FC        p.adj
        Pparg 3.635668 97038.937628 0.000000e+00
        Elane 3.208024  1690.537938 0.000000e+00
      Gm15635 2.908808    92.676317 6.160668e-19
     Hist1h4m 2.816106    37.239613 7.837856e-07
    Hist1h2af 2.811743    35.670449 1.021054e-06
        Stfa1 2.809670    34.948032 1.021054e-06
         Fcnb 2.808747    34.630859 1.021054e-06
    Hist1h2bk 2.808277    34.470673 1.021054e-06
        Ms4a3 2.808129    34.420387 1.021054e-06
        Ulbp1 2.807642    34.255354 1.021054e-06
         Fbp1 2.807608    34.243887 1.021054e-06
4930438A08Rik 2.807543    34.221708 1.021054e-06
       Prss57 2.807111    34.076169 1.021054e-06
        Adtrp 2.807022    34.046347 1.021054e-06
      Depdc1a 2.806402    33.838349 1.021054e-06
        Cep72 2.805347    33.487950 1.021054e-06
    Hist1h2ad 2.805345    33.487214 1.021054e-06
         Polq 2.805268    33.461701 1.021054e-06
      Gm16576 2.805248    33.454990 1.021054e-06
        Rtkn2 2.805248    33.454990 1.021054e-06
      Depdc1b 2.805248    33.454990 1.021054e-06
     Hist1h3g 2.805095    33.404455 1.021054e-06
         E2f8 2.800911    32.052615 1.957707e-06
        Ogdhl 2.800650    31.970095 1.957707e-06
        Ncapg 2.794074    29.959056 5.296958e-06
         Orm1 2.789690    28.688773 9.810390e-06
    Hist1h2ag 2.772181    24.126996 1.002413e-04
       Sgol2a 2.756119    20.579258 6.131970e-04
        Esco2 2.748175    19.021077 1.337851e-03
        Neil3 2.734449    16.600277 4.615967e-03
         Kif4 2.731888    16.183724 5.565009e-03
          Mpo 2.701561    11.973637 5.060299e-02
        Foxm1 2.659176     7.850299 4.022844e-01
         Bub1 2.658554     7.801775 4.022844e-01
       Cldn15 2.655237     7.547776 4.022844e-01
        Grip2 2.654074     7.460703 4.022844e-01
       Fancd2 2.654035     7.457799 4.022844e-01
       Gucy2g 2.653955     7.451844 4.022844e-01
        Susd2 2.651963     7.305188 4.022844e-01
       Mfsd6l 2.651685     7.284995 4.022844e-01
        Sgol1 2.650920     7.229594 4.022844e-01
      Tomm6os 2.650788     7.220007 4.022844e-01
        Vwa3b 2.650237     7.180457 4.022844e-01
      Gm26887 2.649873     7.154395 4.022844e-01
        Tigd4 2.649802     7.149316 4.022844e-01
     Tmem132c 2.649688     7.141183 4.022844e-01
      Gm44000 2.649576     7.133213 4.022844e-01
      C1qtnf3 2.649549     7.131319 4.022844e-01
       Gm5786 2.649484     7.126708 4.022844e-01
      Gm29642 2.649440     7.123581 4.022844e-01
      Gm15551 2.649346     7.116873 4.022844e-01
        Tigd3 2.649346     7.116865 4.022844e-01
      Ldlrad2 2.649346     7.116865 4.022844e-01
      Ccdc158 2.649346     7.116865 4.022844e-01
      Gm43703 2.649346     7.116865 4.022844e-01
      Gm26704 2.649346     7.116865 4.022844e-01
      Ccdc150 2.649331     7.115775 4.022844e-01
        Lect1 2.647953     7.018581 4.132104e-01
         Lrr1 2.647773     7.005986 4.132104e-01
      Gm32950 2.646660     6.928604 4.242807e-01
=== liver ===
总DR基因:3001 | p.adj<0.05:79 | p.adj<0.01:34
